025-09-17 17:05:41,671 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: forex_price_action_patterns (SELL) - Escenario de mercado no determinado todavía
2025-09-17 17:05:46,283 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: candle_doji_reversal_strategy (BUY) - Escenario de mercado no determinado todavía
2025-09-17 17:05:46,727 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: forex_macd_strategy (SELL) - Escenario de mercado no determinado todavía
2025-09-17 17:05:46,777 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: forex_support_resistance_strategy (BUY) - Escenario de mercado no determinado todavía
2025-09-17 17:05:51,306 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: candle_doji_reversal_strategy (BUY) - Escenario de mercado no determinado todavía
2025-09-17 17:05:56,824 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: forex_rsi_strategy (BUY) - Escenario de mercado no determinado todavía
2025-09-17 17:06:01,873 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: forex_stochastic_strategy (BUY) - Escenario de mercado no determinado todavía
2025-09-17 17:06:06,925 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: forex_rsi_strategy (BUY) - Escenario de mercado no determinado todavía
2025-09-17 17:06:06,954 - RiskManagerIntegration - WARNING - 🚫 OPERACIÓN BLOQUEADA: forex_trend_following (SELL) - Escenario de mercado no determinado todavía
2025-09-17 17:06:37,253 - RiskManager - INFO - APERTURA - Lote size calculado: 22580.65
2025-09-17 17:06:37,253 - RiskManager - INFO -   Calculado con fallback: riesgo=10.00 / pip_risk=0.00044
2025-09-17 17:06:37,253 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 22580.65 - Puede causar P&L extremo
2025-09-17 17:07:27,843 - RiskManager - INFO - APERTURA - Lote size calculado: 25624.07
2025-09-17 17:07:27,843 - RiskManager - INFO -   Calculado con fallback: riesgo=9.88 / pip_risk=0.00039
2025-09-17 17:07:27,843 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 25624.07 - Puede causar P&L extremo
2025-09-17 17:10:00,503 - RiskManager - INFO - APERTURA - Lote size calculado: 32204.96
2025-09-17 17:10:00,503 - RiskManager - INFO -   Calculado con fallback: riesgo=9.66 / pip_risk=0.00030
2025-09-17 17:10:00,503 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 32204.96 - Puede causar P&L extremo
2025-09-17 17:10:00,515 - RiskManager - INFO - APERTURA - Lote size calculado: 31882.91
2025-09-17 17:10:00,515 - RiskManager - INFO -   Calculado con fallback: riesgo=9.56 / pip_risk=0.00030
2025-09-17 17:10:00,515 - RiskManager - WARNING -   ⚠️ LOTE_SIZE MUY ALTO: 31882.91 - Puede causar P&L extremo
2025-09-17 17:12:59,832 - RiskManager - INFO - APERTURA - Lote size calculado: 28108.42
2025-09-17 17:12:59,833 - RiskManager - INFO -   Calculado con fallback: riesgo=9.64 / pip_risk=0.00034
